age,educ,exper,hours,nwifeinc,speduc,kidslt6,kidsge6,expersq,black,hispanic
36,17,16.78846154,2080,120,18,0,2,281.8524408,0,0
38,20,17.71153846,1622,115,16,2,0,313.6985947,0,0
36,20,10.82692308,370,16,13,0,0,117.2222633,0,0
36,18,19.26923077,2350,58.15,16,1,0,371.3032544,0,0
35,16,18.25,2080,75,15,0,1,333.0625,0,0
38,12,20.07692308,2128,140,14,0,2,403.0828402,0,1
36,16,18.80769231,2080,60,13,0,1,353.7292899,0,1
35,14,6.615384615,0,300,14,1,2,43.76331361,0,0
36,14,12.17307692,1785,90,12,1,1,148.1838018,0,0
38,16,16.88461538,750,-63.451,16,0,2,285.0902367,0,0
36,16,10.53846154,0,253,20,1,2,111.0591716,0,0
35,16,18.28846154,2080,135,16,0,2,334.4678254,0,0
38,17,11.90384615,468,110,20,1,1,141.7015533,0,1
38,14,13.71153846,995,94,16,0,3,188.006287,0,0
34,18,16.75,3245,330.966,20,1,1,280.5625,0,1
37,19,20,2080,-138.451,20,1,2,400,0,0
34,17,8,1000,312.624,16,1,0,64,0,0
34,17,16.65384615,1040,25,16,1,0,277.3505917,0,0
36,14,7.230769231,0,90.5,20,1,1,52.28402367,0,0
38,17,17.07692308,986,100,16,1,0,291.6213018,0,0
35,16,14.76923077,1463,357.966,16,1,0,218.1301775,0,0
34,19,13.05769231,2080,307.966,20,0,0,170.5033284,0,0
37,16,16.88461538,2290,312.624,18,0,1,285.0902367,0,0
36,18,18.88461538,2340,55.25,16,0,0,356.6286982,0,1
36,16,15.76923077,2080,70.02,18,1,0,248.6686391,1,0
34,20,14.67307692,2320,1,13,2,0,215.2991864,1,0
37,18,4.884615385,0,312.624,18,1,2,23.85946746,0,0
34,16,15.86538462,1960,139.515,16,2,0,251.710429,0,0
34,14,12.48076923,0,60,12,1,0,155.7696006,0,0
34,20,16.96153846,2080,144,16,2,0,287.693787,0,0
36,16,18.88461538,2080,139.515,16,2,0,356.6286982,0,0
34,16,16.86538462,2410,24,12,0,3,284.4411982,0,1
37,16,20.88461538,2080,10,16,1,2,436.1671598,0,1
37,16,18.44230769,3328,48,12,0,1,340.118713,0,0
36,14,7.307692308,0,37.5,15,0,2,53.40236686,0,0
38,13,1.576923077,0,157.5,14,1,0,2.486686391,0,0
35,15,18.48076923,2080,70,14,0,2,341.5388314,0,0
34,19,13,1300,180,18,1,1,169,0,0
37,18,17.63461538,2365,75,16,2,0,310.9796598,0,0
37,18,8.519230769,0,110,16,1,0,72.5772929,0,0
36,8,10.63461538,0,53,12,2,3,113.0950444,0,0
35,11,8.365384615,1822,66,12,0,2,69.97965976,1,0
35,18,15.65384615,2080,100,16,1,1,245.0428994,0,0
36,18,14.15384615,2600,40,16,0,0,200.3313609,0,0
37,17,20.21153846,1984,6,19,0,3,408.506287,0,1
38,16,10.46153846,0,150,16,0,2,109.443787,0,0
37,12,13.5,0,150.5,20,3,2,182.25,0,0
37,12,8.5,0,70,12,1,2,72.25,0,0
35,9,15.09615385,2100,153,12,2,0,227.8938609,0,0
35,20,17.90384615,2080,145,16,1,0,320.5477071,0,0
38,13,20.03846154,1420,151.75,12,0,2,401.5399408,0,1
35,16,14.44230769,0,90,16,0,0,208.5802515,0,1
35,20,15.51923077,2080,75,14,2,1,240.8465237,0,0
36,16,19.05769231,2600,100.5,16,1,0,363.1956361,0,0
35,16,8.403846154,0,175.75,19,2,1,70.62463018,0,0
36,17,16.84615385,2080,90,18,1,0,283.7928994,0,0
35,18,0,0,91,20,1,0,0,0,0
34,15,12.59615385,1575,79,14,0,1,158.6630917,0,0
37,16,15.53846154,420,312.624,18,2,0,241.443787,0,0
34,18,12.69230769,2830,37.75,12,0,1,161.0946746,0,0
34,16,2.903846154,0,110,14,0,3,8.432322485,0,0
38,16,21.11538462,2080,75,12,0,2,445.8594675,0,0
37,19,19.42307692,1664,85,16,0,2,377.2559172,0,0
35,19,14.94230769,2526,110.02,20,2,0,223.2725592,1,0
34,16,17.07692308,2080,130,16,2,0,291.6213018,0,0
37,17,15.25,2860,70,14,0,2,232.5625,0,0
34,17,10.05769231,2000,185,16,1,0,101.1571746,0,0
38,12,21.40384615,1976,102,18,0,1,458.1246302,0,0
38,14,19.26923077,2607,42,12,0,0,371.3032544,0,0
35,20,14.13461538,2600,347.966,16,2,0,199.7873521,0,0
34,12,17.09615385,2178,25,12,1,0,292.2784763,0,0
37,11,6.5,0,60,14,2,2,42.25,0,1
36,19,14.73076923,2600,139.515,19,1,1,216.9955621,0,0
36,16,6.980769231,2080,312.624,16,1,2,48.73113905,0,0
37,18,19.5,2444,0.5,13,1,0,380.25,0,0
38,18,20.88461538,620,38.169,14,0,3,436.1671598,1,0
37,9,21.25,2360,40,6,0,1,451.5625,0,1
36,12,16.96153846,2080,110,12,0,0,287.693787,0,1
34,15,13.03846154,1580,65,12,1,4,170.0014793,0,0
38,13,21.80769231,2340,55.65,14,0,1,475.5754438,0,0
37,15,15.61538462,780,47.2,10,1,3,243.8402367,0,1
38,14,21.05769231,2080,139.515,13,0,4,443.4264053,0,0
36,20,16.48076923,1248,125,13,0,1,271.6157544,0,0
34,16,3.5,1190,75,18,0,0,12.25,0,1
36,19,14.82692308,540,120,17,2,0,219.8376479,0,0
36,12,11.25,1040,100,12,0,2,126.5625,0,0
37,12,9.980769231,0,130,12,1,2,99.61575444,0,0
37,17,19.05769231,832,80,16,3,0,363.1956361,0,0
36,14,12.94230769,1040,58.025,16,1,2,167.5033284,0,0
37,18,18.73076923,1820,55,14,0,2,350.841716,0,0
34,18,14.80769231,2600,110,16,2,0,219.2677515,0,0
38,12,17.30769231,0,45,12,0,0,299.556213,1,0
36,15,15,2080,25,12,1,1,225,0,0
37,15,19.42307692,2496,75,16,0,0,377.2559172,0,0
36,17,17.34615385,2080,112,18,1,1,300.8890533,0,0
36,18,14.88461538,2080,106,13,1,0,221.5517751,1,0
36,9,13.19230769,2392,35,12,0,3,174.0369822,0,1
35,15,18.36538462,1670,1,14,0,0,337.2873521,0,1
36,16,18.59615385,416,459.466,16,1,1,345.8169379,0,0
36,20,14.94230769,2080,32,13,1,0,223.2725592,1,0
35,16,11.82692308,0,70,18,0,2,139.8761095,0,0
37,15,14.09615385,1872,0,14,0,2,198.7015533,0,0
34,14,15.11538462,2415,48,16,1,0,228.4748521,0,1
37,19,15.44230769,1125,100.2,18,1,1,238.4648669,0,0
36,18,10.36538462,0,100,18,3,1,107.4411982,0,0
34,20,14.82692308,950,210,14,2,1,219.8376479,0,0
37,16,19.28846154,2710,45,17,0,2,372.0447485,0,0
36,20,13.86538462,2304,139.515,20,0,2,192.2488905,0,0
38,16,11.23076923,61,150.25,20,2,4,126.1301775,0,0
36,17,8.096153846,0,160.3,16,3,0,65.5477071,0,0
35,16,8.692307692,0,110,18,3,2,75.55621302,0,0
36,14,18,2080,91,16,0,2,324,0,0
36,14,6.403846154,273,80,13,1,2,41.00924556,0,0
38,16,11.09615385,0,312.624,16,2,0,123.1246302,0,0
36,18,9.173076923,0,137.325,18,1,3,84.14534024,0,0
34,16,12.84615385,2220,49.92,12,0,3,165.0236686,0,0
38,19,18.23076923,2080,50,12,2,2,332.3609467,0,0
36,11,2.442307692,70,25,12,0,3,5.964866864,0,0
35,11,1.384615385,0,79,10,1,3,1.917159763,0,1
37,8,10.55769231,1230,48.977,11,0,1,111.4648669,0,0
37,15,16.28846154,60,155,13,1,0,265.3139793,0,0
36,16,17.82692308,765,270.467,17,1,1,317.7991864,0,0
34,20,15.59615385,2600,0,18,0,2,243.2400148,0,0
38,17,19.32692308,1736,210,14,1,0,373.5299556,0,0
37,18,16.40384615,945,46,12,2,1,269.0861686,0,0
35,15,17.13461538,2080,70.994,13,2,2,293.5950444,1,0
37,15,9.173076923,1701,34,9,0,3,84.14534024,0,0
35,15,6.442307692,0,120,12,1,2,41.5033284,0,0
